"??Keyword"	"Competition"	"Global Monthly Searches"	"Local Monthly Searches"
"vinyl siding"	0.74	301000	246000
"siding colors"	0.82	33100	22200
"siding cost"	0.92	49500	49500
"house siding"	0.76	60500	49500
"aluminum siding"	0.73	60500	49500
"roofing shingles"	0.81	368000	246000
"siding a house"	0.76	60500	49500
"the siding"	0.59	1830000	1220000
"siding price"	0.94	49500	40500
"siding for home"	0.79	60500	49500
"color of siding"	0.76	33100	27100
"siding cement"	0.7	40500	40500
"vinylsiding"	0.76	201000	165000
"prices for siding"	0.95	49500	40500
"install vinyl"	0.42	90500	60500
